text,reasoning_label,reasoning_label_correct,corrected_text
"Если кто наводит на представление, будто погрешает: да точно лия знаю, что это погрешение? А если и погрешил, то сам же свершил над собой суд; и как это похоже нато, чтобы себе самому разодрать глаза. И еще: кто не хочет, чтобы дурной погрешал, похож на того, кто не хочет, чтобы сочилась смоква, выросшая на смоковнице; хочет, чтобы младенцы не ревели, нержал конь и прочие неизбежности. Нуа что тому делать, раз состояние его такое? Состояние излечи, если ты такой проворный",1,1,"Если кто-то наводит на мысль, будто кто-то погрешает: да точно ли я знаю, что это погрешение? А если и погрешил, то сам же свершил над собой суд; и как это похоже на то, чтобы себе самому разодрать глаза. И еще: кто не хочет, чтобы дурной погрешал, похож на того, кто не хочет, чтобы сочилась смоква, выросшая на смоковнице; хочет, чтобы младенцы не ревели, не ржал конь и прочие неизбежности. Но что тому делать, раз состояние его такое? Состояние излечи, если ты такой проворный."
"Следует примечать, как и в том, что сопутствует происходящему по природе, есть некая прелесть и привлекательность. Пекут, скажем, хлеб, и полопались кое-где края — так ведь эти трещины, хоть несколько противоречащие искусству пекаря, тем не менее чем-то хороши и особенно возбуждают к еде. Или вот смоквы лопаются как раз тогда, когда совсем поспели; у спелых маслин самая близость к гниению добавляет плодам какую-то особенную красоту. Так и колосья, гнущиеся к земле, складки на морде у льва, пена из кабаньей пасти и многое другое, что далеко от привлекательности, если рассматривать его отдельно, однако в сопутствии с тем, что по природе, вносит еще более лада и душу увлекает; поэтому кто чувствует и вдумывается поглубже, что происходит в мировом целом, тот вряд лихоть в чем-нибудь из сопутствующего природе не найдет, что оно как-то приятно пристроено. Они на подлинные звериные пасти станет смотреть с тем же наслаждением, как и нате, что выставляются живописцами и ваятелями как подражание; своими здравомысленными глазами он сумеет увидеть красоту и некий расцвет старухи или старика, и прелесть новорожденного; ему встретится много такого, что внятно не всякому, а только тому, кто от души расположен к природе и ее делам.",1,1,"Следует замечать, что и в том, что сопутствует происходящему по природе, есть некая прелесть и привлекательность. Пекут, скажем, хлеб, и кое-где полопались края — так ведь эти трещины, хоть и несколько противоречат искусству пекаря, тем не менее чем-то хороши и особенно возбуждают аппетит. Или вот смоквы лопаются как раз тогда, когда совсем поспели; у спелых маслин самая близость к гниению добавляет плодам какую-то особенную красоту. Так и колосья, гнущиеся к земле, складки на морде у льва, пена из кабаньей пасти и многое другое, что далеко от привлекательности, если рассматривать это отдельно, однако в сочетании с тем, что по природе, вносит еще больше гармонии и увлекает душу; поэтому тот, кто чувствует и вдумывается поглубже в то, что происходит в мировом целом, вряд ли хоть в чем-нибудь из сопутствующего природе не найдет, что оно как-то приятно устроено. Он на подлинные звериные пасти станет смотреть с тем же наслаждением, как и на те, что выставляются живописцами и ваятелями как подражание; своими здравомыслящими глазами он сумеет увидеть красоту и некий расцвет старухи или старика, и прелесть новорожденного; ему встретится много такого, что понятно не всякому, а только тому, кто от души расположен к природе и ее делам."
"Чтобы быть в состоянии произносить искренние и справедливые суждения, нужно изгнать из своего ума всякое предубеждение, всякую предвзятость и не требовать, чтобы авторы, о которых мы беремся судить, рабски подчинялись мыслям, которые властвуют над нами, а в противном случае не смотреть наних как на настоящих врагов, с которыми мы призваны вести открытую войну.",1,1,"Чтобы быть в состоянии произносить искренние и справедливые суждения, нужно изгнать из своего ума всякое предубеждение, всякую предвзятость и не требовать, чтобы авторы, о которых мы беремся судить, рабски подчинялись мыслям, которые властвуют над нами, а в противном случае не смотреть на них как на настоящих врагов, с которыми мы призваны вести открытую войну."
"Основоположения могут ли отмереть, если только не угаснут соответствующие им представления? А разжечь их снова — оттебя же зависит. Могу я здесь как следует применить признание? Раз могу, что же смущаюсь? ведь точто вне моего разума, то вообще ничто для моего разума. Пойми это, будешь прям. А обновление для тебя возможно — смотри только на вещи снова так, как уже начинал видеть их, — в этом обновление.",1,1,"Основоположения могут ли отмереть, если только не угаснут соответствующие им представления? А разжечь их снова — от тебя же зависит. Могу я здесь как следует применить признание? Раз могу, что же смущаюсь? Ведь то, что вне моего разума, то вообще ничто для моего разума. Пойми это — будешь прям. А обновление для тебя возможно — смотри только на вещи снова так, как уже начинал видеть их, — в этом обновление."
"Кто бычто ни делал, ни говорил, а я должен быть достойным. Вот как если бы золото, или изумруд, или пурпур все бысебе повторяли: кто бычто ни делал, ни говорил, а я должен быть изумруд и сохранять свой собственный цвет.",1,0,"Кто бы что ни делал, ни говорил, а я должен быть достойным. Вот как если бы золото, или изумруд, или пурпур все бы себе повторяли: кто бы что ни делал, ни говорил, а я должен быть изумрудом и сохранять свой собственный цвет."
"Постоянно и при всяком, по возможности, представлении вести рассуждение о природе, страстях, познании.",1,0,"Постоянно и при всяком, по возможности, случае вести рассуждение о природе, страстях, познании."
"«А я, пожалуй, справедливо отвечу ему таким словом, что нехорошо тыдруг, говоришь, если думаешь, что человек, который вообще на что-нибудь годен, должен принимать в расчет, жить или умереть, а не смотреть единственно нато, справедливо ли он действует ИЛИ несправедливо, как достойный человек или дурной».",1,1,"А я, пожалуй, справедливо отвечу ему такими словами: нехорошо ты, друг, говоришь, если думаешь, что человек, который вообще на что-нибудь годен, должен принимать в расчет, жить или умереть, а не смотреть единственно на то, справедливо ли он действует или несправедливо, как достойный человек или дурной."
"Пусть не смущает тебя представление жизни в целом. Не раздумывай, сколько еще и как суждено, может быть, потрудиться впоследствии. Нет, лучше спрашивай себя в каждом отдельном случае: что непереносимо и несносно в этом деле? Стыдно будет признаться! А потом напомни себе, что не будущее тебя гнетет и прошлое, а всегда одно настоящее. И как оно умаляется, если определишь его границу, а мысль свою изобличишь в том, что она такой малости не может выдержать.",1,1,"Пусть не смущает тебя представление о жизни в целом. Не раздумывай, сколько еще и как суждено, может быть, потрудиться впоследствии. Нет, лучше спрашивай себя в каждом отдельном случае: что непереносимо и несносно в этом деле? Стыдно будет признаться! А потом напомни себе, что не будущее тебя гнетет и не прошлое, а всегда только настоящее. И как оно умаляется, если определишь его границу, а мысль свою изобличишь в том, что она такой малости не может выдержать."
"Но мы все — таки исследуем правосудность как часть добродетели, ибо есть и такая, как мы утверждаем. Т о же самое справедливо и для неправосудности как части порочн ости. Что такая существует, доказывает следующее: Тот, чьи действ ия соответствуют иным порокам, конечно, поступает неправосудно, одна ко онни в ч емне своекорыстен скажем, бросив по трусости щит, или о бругав по злобе, или не пособив по скупости деньгами. Когда же человек вед етсебя своекорыстно, его поступки часто ни одному из пороков не соответствуют, ни тем более всем порокам, и все жеих отличает какая — то подлость ведь этого чел овека мы осуждаем! и неправосудность. А значит, существует особая «неправосудность», как бы часть от неправосудности в целом, и существует нечто «неправосудное» как часть от непра восудного и противозаконного в целом. Далее, если один блудит ради наживы и за плату, а д ругой — по влечению, платя и платясь заэто, то последнего ско рее, пожалуй, сочтут распущенным, нежели своекорыстным, а первого — непр авосудным, ноне распущенным. Ясно, что это из — за наживы. Далее, все прочие неправосудные дела всегда можно возвести к какому — нибудь пороку, например: Если с овершил блуд — к распущенности, если оставил соратника в бою — к т русости, если ударил — к гневу, ноесли нажился, то ник чему, кроме неправосудности. Таким образом, очевидно, что наряду с неправосуднос тью в целом существует и некая другая, частная, именуемая так ж е, потому что по определению они...",1,1,"Но мы всё-таки исследуем правосудность как часть добродетели, ибо есть и такая, как мы утверждаем. То же самое справедливо и для неправосудности как части порочности. Что такая существует, доказывает следующее: тот, чьи действия соответствуют иным порокам, конечно, поступает неправосудно, однако он ни в чём не своекорыстен, скажем, бросив по трусости щит, или обругав по злобе, или не пособив по скупости деньгами. Когда же человек ведёт себя своекорыстно, его поступки часто ни одному из пороков не соответствуют, ни тем более всем порокам, и всё же их отличает какая-то подлость — ведь этого человека мы осуждаем! — и неправосудность. А значит, существует особая «неправосудность», как бы часть от неправосудности в целом, и существует нечто «неправосудное» как часть от неправосудного и противозаконного в целом. Далее, если один блудит ради наживы и за плату, а другой — по влечению, платя и платясь за это, то последнего скорее, пожалуй, сочтут распущенным, нежели своекорыстным, а первого — неправосудным, но не распущенным. Ясно, что это из-за наживы. Далее, все прочие неправосудные дела всегда можно возвести к какому-нибудь пороку, например: если совершил блуд — к распущенности, если оставил соратника в бою — к трусости, если ударил — к гневу, но если нажился, то ни к чему, кроме неправосудности. Таким образом, очевидно, что наряду с неправосудностью в целом существует и некая другая, частная, именуемая так же, потому что по определению они..."
"Много лишнего ты можешь отрезать из того, что тебе досаждает, покоясь всецело на твоем признании. Столько обретешь простора для того, чтобы окинуть умом весь мир и свой век, чтобы осмыслять токак быстро меняется какою-нибудь своей частью всякая вещь, как коротко все от рождения до распада, как зияет и до рождения, и после распада вечность.",1,1,"Много лишнего ты можешь отрезать из того, что тебе досаждает, полагаясь всецело на твое собственное решение. Столько обретешь простора для того, чтобы окинуть умом весь мир и свой век, чтобы осмыслить, как быстро меняется какой-нибудь своей частью всякая вещь, как коротко всё от рождения до распада, как зияет и до рождения, и после распада вечность."
"Итак, поскольку дружба состоит, скорее, в том, ч тобы питать дружеские чувства, а тех, кто любит друзей, хвалят, то, похоже, добродетель друзей в том, чтобы питать дружбу; значит, кто питает дружбу в соответствии с достоинством, те друзья пос тоянные и дружба их постоянна. Друзьями в этом смысле бывают в первую очередь неро вни , ихведь можно уравнивать, а уравн енность и сходство — это и есть дружность, и особенно если сходство по добродетели. Ведь будучи постоянны сами посебе, добродетельные постоянны и в отношении к другим, и они не нуждаются в дурном и не делают дур ного в услугу, напротив, они, так сказать, препятствуют дурному, и бо таково свойство добродетельных — самим не совершать проступков и не позволять друзьям. А у испорченных нет ничего прочного, ведь они неос таются подобными самим себе, однако, получая наслаждение о т испорченности друг друга, и они ненадолго становятся друзьями. Что же касается друзей, приносящих пользу и доставл яющих удовольствие, то они дольше остаются друзьями, а именно, покуда оказывают друг другу помощь и доставляют удовольств ия. Дружба ради пользы возникает прежде всего, видимо, из противопо ложностей, например у бедного с богатым, у неуча с ученым, ибо, имея в ч ем — то нужду, человек тянется к этому, а взамен дарит друг оеСюда можно, пожалуй, с натяжкой отнести влюбл енного с возлюбленным и красавца с уродом. И влюбл енные недаром иногда кажутся смешными, требуя такой же дружбы, какую сами питают к другому....",1,1,"Итак, поскольку дружба состоит, скорее, в том, чтобы питать дружеские чувства, а тех, кто любит друзей, хвалят, то, похоже, добродетель друзей в том, чтобы питать дружбу; значит, кто питает дружбу в соответствии с достоинством, те друзья постоянные, и дружба их постоянна. Друзьями в этом смысле бывают в первую очередь неравные, их ведь можно уравнивать, а уравненность и сходство — это и есть дружность, и особенно если сходство по добродетели. Ведь, будучи постоянны сами по себе, добродетельные постоянны и в отношении к другим, и они не нуждаются в дурном и не делают дурного в услугу, напротив, они, так сказать, препятствуют дурному, ибо таково свойство добродетельных — самим не совершать проступков и не позволять друзьям. А у испорченных нет ничего прочного, ведь они не остаются подобными самим себе, однако, получая наслаждение от испорченности друг друга, и они ненадолго становятся друзьями. Что же касается друзей, приносящих пользу и доставляющих удовольствие, то они дольше остаются друзьями, а именно, пока оказывают друг другу помощь и доставляют удовольствия. Дружба ради пользы возникает прежде всего, видимо, из противоположностей, например у бедного с богатым, у неуча с ученым, ибо, имея в чем-то нужду, человек тянется к этому, а взамен дарит другое. Сюда можно, пожалуй, с натяжкой отнести влюбленного с возлюбленным и красавца с уродом. И влюбленные недаром иногда кажутся смешными, требуя такой же дружбы, какую сами питают к другому..."
"Я -действительно знаю, что чувства иногда нас обманывают, если они нев порядке: например, больному человеку любая пища кажется горькой; или, если мы находимся чересчур далеко от предметов, как, например, когда мы наблюдаем звезды, они всегда кажутся нам меньшими, чем они есть на самом деле; в целом чувства обманывают нас тогда, когда они не свободны действовать в соответствии с их природным устройством. Новсе их изъяны очень легко заметить, и они не мешают мне в настоящий момент быть вполне уверенным в том, что я вас вижу, что мы прогуливаемся по этому саду, что солнце нам светит - короче говоря, что все, воспринимаемое моими чувствами обычным образом, истинно.",1,1,"Я действительно знаю, что чувства иногда нас обманывают, если они не в порядке: например, больному человеку любая пища кажется горькой; или, если мы находимся чересчур далеко от предметов, как, например, когда мы наблюдаем звёзды, они всегда кажутся нам меньшими, чем они есть на самом деле; в целом, чувства обманывают нас тогда, когда они не свободны действовать в соответствии со своим природным устройством. Но все их изъяны очень легко заметить, и они не мешают мне в настоящий момент быть вполне уверенным в том, что я вас вижу, что мы прогуливаемся по этому саду, что солнце нам светит — короче говоря, что всё, воспринимаемое моими чувствами обычным образом, истинно."
"Две готовности надо всегда иметь. Одна: делать только точто подлежит тебе по разуму властителя и законодателя на пользу людей. И еще: перестраиваться, если явится кто-нибудь, чтобы поправить или переубедить в каком-нибудь мнении. Только чтобы переубеждение шло от некой достоверности, будь то справедливость или общая польза или что-нибудь такое, а не оттого, что поманила сладость или там слава.",1,1,"Две готовности надо всегда иметь. Одна: делать только то, что подлежит тебе по разуму властителя и законодателя на пользу людей. И еще: перестраиваться, если явится кто-нибудь, чтобы поправить или переубедить в каком-нибудь мнении. Только чтобы переубеждение шло от некой достоверности, будь то справедливость, или общая польза, или что-нибудь такое, а не оттого, что поманила сладость или слава."
"Труден и вопрос о том, расторгать или нет друж еские связи с теми, кто не остаются прежними. Может быть, нет нич его странного в расторжении дружбы с теми, кто нам друзья из сообра жений пользы или удовольствия, когда ни того, ни другого в них уже н е находят? Друзьями — то были тем выгодам и удовольствиям, а когда они исчерпались, вполне разумно не питать дружбы. Однако будет подан повод к жалобе, если, любя за пользу или удовольствие, делали вид, что занрав. Именно это мыуже сказали в начале: Большинство разногласи й возникает между друзьями тогда, когда они являются друзьями нев том смысле, в каком думают. Поэтому всякий раз, как человек обманулся и предположил, что к нему питают дружбу заего нрав, в то время как другой ничего подобного не делает, пусть он винит самого себя, но всякий раз, когда онввед енв заблуждение притворством другого, он вправе жал оваться навв едшего в заблуждение, причем даже больше, чем на фальшивомонетчика, настолько, насколько ценнее пре дмет, на который обращено коварство. А когда человека принимают, считая его добродетельн ыма он оказывается испорченным и обнаруживает это, тора зве надо все еще питать к нему дружбу? Это же невозможно, коль скоро не все, что угодно, предмет приязни, а только собственно благо . Подлое жеи не является предметом дружеской приязни, и не должно и м быть, ибо не следует нибыть другом подлости , ни уподобляться дурному: Сказано ведь, что подобное — в дружбе с по добным. Надо ли в таком случае...",1,1,"Труден и вопрос о том, расторгать или нет дружеские связи с теми, кто не остаётся прежними. Может быть, нет ничего странного в расторжении дружбы с теми, кто нам друзья из соображений пользы или удовольствия, когда ни того, ни другого в них уже не находят? Друзьями-то были тем выгодам и удовольствиям, а когда они исчерпались, вполне разумно не питать дружбы. Однако будет подан повод к жалобе, если, любя за пользу или удовольствие, делали вид, что за нрав. Именно это мы уже сказали в начале: большинство разногласий возникает между друзьями тогда, когда они являются друзьями не в том смысле, в каком думают. Поэтому всякий раз, как человек обманулся и предположил, что к нему питают дружбу за его нрав, в то время как другой ничего подобного не делает, пусть он винит самого себя, но всякий раз, когда он введён в заблуждение притворством другого, он вправе жаловаться на введшего в заблуждение, причём даже больше, чем на фальшивомонетчика, настолько, насколько ценнее предмет, на который обращено коварство. А когда человека принимают, считая его добродетельным, а он оказывается испорченным и обнаруживает это, то разве надо всё ещё питать к нему дружбу? Это же невозможно, коль скоро не всё, что угодно, предмет приязни, а только собственно благо. Подлое же и не является предметом дружеской приязни, и не должно им быть, ибо не следует ни быть другом подлости, ни уподобляться дурному: сказано ведь, что подобное — в дружбе с подобным. Надо ли в таком случае..."
"Пренебрежешь песней прелестной, пляской, двоеборьем, если разделишь напевное звучание на отдельные звуки и о каждом спросишь себя: что, действительно онтебя покоряет? Так ведь отвернешься жеВот и с пляской так, во всяком ее движении или покое; тоже и с двоеборьем. В целом: за исключением добродетели и того, что отнее происходит, не забывай спешить к составляющим, а выделив их, приходить к пренебрежению. Это же переноси на жизнь вообще.",1,1,"Пренебрежёшь песней прелестной, пляской, двоеборьем, если разделишь напевное звучание на отдельные звуки и о каждом спросишь себя: что действительно тебя покоряет? Так ведь отвернёшься же. Вот и с пляской так, во всяком её движении или покое; то же и с двоеборьем. В целом: за исключением добродетели и того, что от неё происходит, не забывай спешить к составляющим, а выделив их, приходить к пренебрежению. Это же переноси на жизнь вообще."
"Может быть, тогда вообще никого не следует счит ать счастливым, покуда онжив, а нужно, по Солону, «взи рать на конец»? Если в самом деле признать такое, тоне будет личе ловек счастлив лишь тогда, когда умер? Или это все — таки нелепо во всех отношениях, а особенно для нас, коль скоро мы определяем счастье как некую деятельность? Если же мыне называем умершего счаст ливым и Солон имел в виду неэто, а точто без ошибки признать ч еловека блаженным можно, лишь когда онуже вне зол и несчастий, тои в этом случае рассуждение будет несколько спорным. Ведь принято считать, что для умершего существует некое зло и благо, коль скоро э тотак для живого, когда он ничего не чувствует; это, например, честь и бесчестье, а также благополучие и несчастья детей и вообще потомков. Нои это ставит трудный вопрос. Действительно, можн о допустить, что у человека, прожившего в блаженстве до старости и соответственно скончавшегося, происходят многочисленные перемены, связанные с его потомками, причем одни из потомков добродетельные и добились достойной жизни, а у других все наоборот. Ясно также, что потомки могут быть в самых разных степенях родстве с предка ми. Однако было бы, разумеется, нелепо, если бы умерший переживал п еремены вместе с потомками и становился то счастливым, то снова злос частным, но нелепо также допустить, что удел потомков нив ч еми нина каком отрезке времени не оказывает влияния на предков. Надо, одна ко, вернуться к поставленному ранее вопросу: Может...",1,1,"Может быть, тогда вообще никого не следует считать счастливым, пока он жив, а нужно, по Солону, «взирать на конец»? Если в самом деле признать такое, то не будет ли человек счастлив лишь тогда, когда умер? Или это всё-таки нелепо во всех отношениях, а особенно для нас, коль скоро мы определяем счастье как некую деятельность? Если же мы не называем умершего счастливым и Солон имел в виду не это, а то, что без ошибки признать человека блаженным можно лишь тогда, когда он уже вне зол и несчастий, то и в этом случае рассуждение будет несколько спорным. Ведь принято считать, что для умершего существует некое зло и благо, коль скоро это так для живого, когда он ничего не чувствует; это, например, честь и бесчестье, а также благополучие и несчастья детей и вообще потомков. Но и это ставит трудный вопрос. Действительно, можно допустить, что у человека, прожившего в блаженстве до старости и соответственно скончавшегося, происходят многочисленные перемены, связанные с его потомками, причём одни из потомков добродетельные и добились достойной жизни, а у других всё наоборот. Ясно также, что потомки могут быть в самых разных степенях родства с предками. Однако было бы, разумеется, нелепо, если бы умерший переживал перемены вместе с потомками и становился то счастливым, то снова злосчастным, но нелепо также допустить, что удел потомков ни в чём ни на каком отрезке времени не оказывает влияния на предков. Надо, однако, вернуться к поставленному ранее вопросу: Может..."
"Таков, стало быть, величавый человек; отклонен ияв сторону недостатка дают приниженного, в сторону избытка — спесивого. Нои этих людей считают не злыми так как они не делают зла, а заблудшими . Ведь приниженный, будучи достоин блага, лишает самого себя того, чего он достоин, и оттого, что онне считает себя достойным благ, кажется, что он надел ен неким пороком , и самого себя онне знает, иначе онведь стремилс я бык тому, чего достоин, во всяком случае признавая это благами. И тем не менее таких людей считают не глупцами, а робкими . Подобное мнение о самих себе, видимо, делает их хуже, ибо всякий чело век стремится к тому, что ему по достоинству, а они сторонятся даже прекр асных дел и занятий, а равным образом и внешних благ, как будто они все го этого недостойны. Что до спесивых, тоих глупость и незнание самих себя ясно видны. Не обладая достоинством, они берутся започ етные дела, а потом обнаруживают свою несостоятельность, они и нарядами украшаются, и позы принимают, и все такое делают, желая, чтобы их успех был заметен, и говорят о н ем, думая, что занего их будут чтить. Однако приниженность резче противопоставлена велича вости, нежели спесь, и встречается она чаще и хуже спеси . Итак, величавость, как уже было сказано, имеет дело с великой честью. По — видимому, с честью связана, как было сказан о в первоначальном обзоре добродетелей, еще одна добродетель; она относится к величавости, наверное, так жекак щедр ость к великолепию. Дело в том, что...",1,1,"Таков, стало быть, величавый человек; отклонение в сторону недостатка дает приниженного, в сторону избытка — спесивого. Но и этих людей считают не злыми, так как они не делают зла, а заблудшими. Ведь приниженный, будучи достоин блага, лишает самого себя того, чего он достоин, и оттого, что он не считает себя достойным благ, кажется, что он наделён неким пороком, и самого себя он не знает, иначе он ведь стремился бы к тому, чего достоин, во всяком случае признавая это благами. И тем не менее таких людей считают не глупцами, а робкими. Подобное мнение о самих себе, видимо, делает их хуже, ибо всякий человек стремится к тому, что ему по достоинству, а они сторонятся даже прекрасных дел и занятий, а равным образом и внешних благ, как будто они всего этого недостойны. Что до спесивых, то их глупость и незнание самих себя ясно видны. Не обладая достоинством, они берутся за почётные дела, а потом обнаруживают свою несостоятельность, они и нарядами украшаются, и позы принимают, и всё такое делают, желая, чтобы их успех был заметен, и говорят о нём, думая, что за него их будут чтить. Однако приниженность резче противопоставлена величавости, нежели спесь, и встречается она чаще и хуже спеси. Итак, величавость, как уже было сказано, имеет дело с великой честью. По-видимому, с честью связана, как было сказано в первоначальном обзоре добродетелей, ещё одна добродетель; она относится к величавости, наверное, так же, как щедрость к великолепию. Дело в том, что..."
